"date","pr","tas","tasrange","tasskew"
1987-04-22,1.87508394446922e-05,284.154876708984,8.09487915039062,0.563360273838043
1987-04-23,6.61668673274107e-05,282.647979736328,8.74179077148438,0.532492458820343
1987-04-24,1.11885738078854e-05,283.325775146484,8.1334228515625,0.588396191596985
1987-04-25,5.01326176163275e-05,282.607055664062,1.5946044921875,0.588628172874451
1987-04-26,2.19841440411983e-05,283.197418212891,6.59158325195312,0.472260683774948
1987-04-27,4.83247713418677e-05,284.218719482422,10.2324829101562,0.536149919033051
1987-04-28,2.6535359211266e-05,283.056091308594,7.69097900390625,0.504233837127686
1987-04-29,5.08016928506549e-05,283.187347412109,9.79116821289062,0.556506872177124
1987-04-30,3.26005501847249e-05,282.840667724609,8.64971923828125,0.48300838470459
1987-05-01,4.64697004645132e-05,282.070648193359,5.47109985351562,0.625161051750183
1987-05-02,1.99600908672437e-05,283.06591796875,6.7891845703125,0.406089872121811
1987-05-03,2.72255456366111e-05,286.920501708984,8.51284790039062,0.540668725967407
1987-05-04,1.6953299564193e-05,286.835479736328,4.01394653320312,0.611652195453644
1987-05-05,0.000115771668788511,286.402923583984,6.77694702148438,0.527475953102112
1987-05-06,0.000247546151513234,282.092224121094,2.83773803710938,0.287470281124115
1987-05-07,0.000215940424823202,281.776794433594,1.05606079101562,0.549082517623901
1987-05-08,3.96213399653789e-05,283.896942138672,3.98965454101562,0.433180600404739
1987-05-09,6.25196262262762e-05,285.572296142578,9.98709106445312,0.520239472389221
1987-05-10,2.8471684345277e-05,285.785125732422,10.458984375,0.59668242931366
1987-05-11,1.55908019223716e-05,286.00146484375,8.22915649414062,0.479957580566406
1987-05-12,6.85303575664875e-07,287.084411621094,12.3648071289062,0.542263746261597
1987-05-13,5.74091586713621e-07,290.130401611328,15.8527526855469,0.585989773273468
1987-05-14,2.72228608082514e-05,292.254425048828,10.0773620605469,0.505270779132843
1987-05-15,1.61821223088054e-08,292.268707275391,11.9839172363281,0.529477536678314
1987-05-16,2.55539089266676e-05,291.772155761719,10.7340698242188,0.521266043186188
1987-05-17,4.38880351794069e-06,289.217498779297,8.15087890625,0.493159562349319
1987-05-18,8.24969128641755e-17,288.322937011719,10.4183654785156,0.498800486326218
1987-05-19,6.90404908603955e-16,288.517272949219,12.0771179199219,0.560684561729431
1987-05-20,3.9550524633114e-08,289.621429443359,12.1029052734375,0.547525405883789
1987-05-21,1.07990563265048e-05,290.638854980469,12.5588073730469,0.558288991451263
1987-05-22,0,290.345642089844,13.0422058105469,0.516373515129089
1987-05-23,1.77535140960357e-22,290.15966796875,14.7171325683594,0.552774369716644
1987-05-24,1.7059708625311e-05,290.527282714844,11.8746948242188,0.570342600345612
1987-05-25,0.000154802692122757,286.940155029297,5.85116577148438,0.552810966968536
1987-05-26,6.95564858688158e-06,284.949127197266,7.57452392578125,0.546558856964111
1987-05-27,5.91706921113655e-05,283.511260986328,6.5640869140625,0.516193091869354
1987-05-28,8.07354899734491e-06,283.504547119141,6.07229614257812,0.586942195892334
1987-05-29,4.87856323161395e-06,282.877014160156,7.1224365234375,0.59846693277359
1987-05-30,5.26627009094227e-05,286.558319091797,15.0922241210938,0.541179537773132
1987-05-31,9.87854377854092e-07,288.421234130859,8.61361694335938,0.492047846317291
1987-06-01,4.57072601420805e-05,288.667755126953,8.1773681640625,0.560375571250916
1987-06-02,3.76605457859114e-05,287.157470703125,8.8402099609375,0.549872934818268
1987-06-03,4.36905429523904e-06,285.995513916016,8.30587768554688,0.62369430065155
1987-06-04,6.60412406432442e-05,286.402557373047,7.64483642578125,0.533843517303467
1987-06-05,6.01972387812566e-05,285.278564453125,7.31268310546875,0.557344496250153
1987-06-06,9.71371719060699e-06,283.414520263672,4.66680908203125,0.535220563411713
1987-06-07,9.08301171875792e-06,283.457305908203,3.95361328125,0.509880185127258
1987-06-08,2.34092090067861e-06,285.086212158203,8.83279418945312,0.549405217170715
1987-06-09,1.47290336371952e-06,288.585632324219,15.3854064941406,0.61454451084137
1987-06-10,2.99097737297416e-05,289.394714355469,5.65512084960938,0.582357943058014
1987-06-11,0.000135031208628789,288.786071777344,3.47695922851562,0.597043871879578
1987-06-12,3.87441286875401e-05,287.417999267578,3.8427734375,0.434212207794189
1987-06-13,5.08344346599188e-05,288.006591796875,3.83609008789062,0.553352773189545
1987-06-14,5.62623881705804e-06,290.219268798828,8.71279907226562,0.474621802568436
1987-06-15,1.97586523427162e-05,289.515350341797,8.33370971679688,0.573112547397614
1987-06-16,3.40300066454802e-05,289.047515869141,5.82901000976562,0.481400996446609
1987-06-17,2.37569493037881e-05,290.299163818359,8.30734252929688,0.523832261562347
1987-06-18,1.50200257849065e-05,289.044921875,5.37667846679688,0.469358563423157
1987-06-19,4.05227874580305e-05,288.390441894531,6.98098754882812,0.475582838058472
1987-06-20,1.50170990309562e-05,289.335968017578,7.203369140625,0.665857493877411
1987-06-21,5.95295605307911e-05,293.319427490234,9.532958984375,0.48247304558754
1987-06-22,6.43180101178586e-05,291.062774658203,9.24658203125,0.493933826684952
1987-06-23,3.90268105547875e-05,288.018920898438,5.53302001953125,0.490193367004395
